CODIGO,DESCRIPCION,Codigo Medsys,
117590,RX DEDOS DE PIE MULTIVISTA,'5320000102001210,
117542,RX CLAVICULA 2 POSICIONES,'5320000102000102,
117562,RX MANO 3 POSICIONES,'5320000102000603,
117663,ECO DE PIE,'5320000401000704,
117721,TAC DE PIE,'5320000501000119,
113551,ECO ENDOVAGINAL,'5320000401000408,
117524,RX SACRO-COCCIX 2 POSICIONES,'5320000101000705,
117661,ECO DE RODILLA,'5320000401000702,
117751,TAC ANGIO CRANEO-CEREBRO,'5320000502000101,
113523,RX PELVIS 2 POSICIONES,'5320000101000702,
113543,RX PIE 1 POSICION,'5320000102001201,
117563,RX MANO 4 POSICIONES,'5320000102000604,
113545,ECO DE MAMA UNILATERAL,'5320000401000302,
113548,ECO DE ABDOMEN SUPERIOR,'5320000401000402,
117592,RX MED MIEMBROS EJE MECANICO,'5320000102001303,
337302,ECO DE PROSTATA TRANSABDOMINAL,'5320000401000412,
113540,RX PIERNA 1 POSICION,'5320000102001001,
117656,ECO DIAGNOSTICO FETAL 2 TRI,'5320000401000503,
117565,RX ART COXOFEMORAL 1 POSICION,'5320000102000702,
117697,ECO DOPPLER ARTERIAL EXT INF,'5320000403000601,
117541,RX CLAVICULA 1 POSICION,'5320000102000101,
117515,RX COLUMNA LUMBAR 4 POSICIONES,'5320000101000504,
117742,TAC DE PELVIS-CADERA,'5320000501000501,
117487,RX PIE 3 POSICIONES,'5320000101000114,
117528,RX TORAX 3 POSICIONES,'5320000101000803,
117556,RX ANTEBRAZO 4 POSICIONES,'5320000102000403,
117587,RX CALCANEO/TALON 1 POSICION,'5320000102001206,
117762,TAC ANGIO EXTREMIDAD INFERIOR,'5320000502000701,
117617,ECO TRANSFONTANELAR,'5320000401000101,
117625,ECO DE PIERNA,'5320000401000109,
117748,TAC DE MUSLO,'5320000501000701,
117755,TAC ANGIO MESENTERICA,'5320000502000402,
117511,RX COLUMNA DORSAL 4 POSICIONES,'5320000101000404,
113511,RX CRANEO 2 POSICIONES,'5320000101000103,
117674,ECO DOPPLER CAROTIDA/VERTEBRAL,'5320000403000201,
117743,TAC DENSITOMETRIA OSEA,'5320000501000502,
117619,ECO DE ANTEBRAZO,'5320000401000103,
117505,RX COLUMNA CERVICAL 3 POSICIONES,'5320000101000304,
117750,TAC DE TOBILLO,'5320000501000704,
113536,RX MANO 2 POSICIONES,'5320000102000602,
117722,TAC DE RODILLA,'5320000501000120,
337337,UROTAC,'53200162163,
117713,TAC DE OIDO-MASTOIDES,'5320000501000105,
113529,RX BRAZO 1 POSICION,'5320000102000201,
113516,RX COLUMNA CERVICAL 2 POSICIONES,'5320000101000303,
113539,RX RODILLA 2 POSICIONES,'5320000102000902,
